name,yahoo,sector,universe
Bikaji Foods International,BIKAJI.NS,Fast Moving Consumer Goods,nifty500
Billionbrains Garage Ventures,GROWW.NS,Financial Services,nifty500
Biocon,BIOCON.NS,Healthcare,nifty500
Birlasoft,BSOFT.NS,Information Technology,nifty500
Blue Dart Express,BLUEDART.NS,Services,nifty500
Blue Jet Healthcare,BLUEJET.NS,Healthcare,nifty500
Blue Star,BLUESTARCO.NS,Consumer Durables,nifty500
Bombay Burmah Trading Corporation,BBTC.NS,Fast Moving Consumer Goods,nifty500
Bosch,BOSCHLTD.NS,Automobile and Auto Components,nifty500
Brainbees Solutions,FIRSTCRY.NS,Consumer Services,nifty500
Brigade Enterprises,BRIGADE.NS,Realty,nifty500
Britannia Industries,BRITANNIA.NS,Fast Moving Consumer Goods,nifty500
C.E. Info Systems,MAPMYINDIA.NS,Information Technology,nifty500
CCL Products (I),CCL.NS,Fast Moving Consumer Goods,nifty500
CESC,CESC.NS,Power,nifty500
CG Power and Industrial Solutions,CGPOWER.NS,Capital Goods,nifty500
CIE Automotive India,CIEINDIA.NS,Automobile and Auto Components,nifty500
CRISIL,CRISIL.NS,Financial Services,nifty500
Can Fin Homes,CANFINHOME.NS,Financial Services,nifty500
Canara Bank,CANBK.NS,Financial Services,nifty500
Canara HSBC Life Insurance Company,CANHLIFE.NS,Financial Services,nifty500
Caplin Point Laboratories,CAPLIPOINT.NS,Healthcare,nifty500
Capri Global Capital,CGCL.NS,Financial Services,nifty500
Carborundum Universal,CARBORUNIV.NS,Capital Goods,nifty500
Cartrade Tech,CARTRADE.NS,Consumer Services,nifty500
Castrol India,CASTROLIND.NS,Oil Gas & Consumable Fuels,nifty500
Ceat,CEATLTD.NS,Automobile and Auto Components,nifty500
Cemindia Projects,CEMPRO.NS,Construction,nifty500
Central Bank of India,CENTRALBK.NS,Financial Services,nifty500
Central Depository Services (India),CDSL.NS,Financial Services,nifty500
Chalet Hotels,CHALET.NS,Consumer Services,nifty500
Chambal Fertilizers & Chemicals,CHAMBLFERT.NS,Chemicals,nifty500
Chennai Petroleum Corporation,CHENNPETRO.NS,Oil Gas & Consumable Fuels,nifty500
Choice International,CHOICEIN.NS,Financial Services,nifty500
Cholamandalam Financial Holdings,CHOLAHLDNG.NS,Financial Services,nifty500
